0,3,36.9
0,19,26.6
0,25,12.9
0,14,23.6
1,22,37.7
1,7,25.7
2,6,7.1
2,27,38.7
2,20,10.8
3,19,1.7
3,0,18.7
3,14,7.6
3,12,10.3
3,30,36.2
4,10,0.4
4,6,0
4,28,0.1
4,17,0.3
4,30,0
5,25,7.9
5,27,25.5
5,11,21.2
5,9,23.7
5,21,19.3
6,2,0.1
6,27,0.3
6,9,0
6,4,0
6,13,0.1
6,17,0.1
6,20,0.1
7,29,8.5
7,28,29.7
7,22,23.5
7,1,4.4
7,30,12.9
8,26,38.4
9,6,5.4
9,25,35.8
9,27,20.1
9,13,7
9,5,31.7
10,29,13.2
10,28,2.3
10,4,36.1
11,18,32.6
11,31,28
11,25,0.7
11,21,13.5
11,5,25.1
12,3,10.8
12,19,10.3
12,23,39.4
13,6,15.3
13,25,26.9
13,9,7.9
13,17,49.9
14,3,14.3
14,25,40.3
14,0,22.3
14,17,21.6
14,30,1.6
15,18,30.8
15,19,31.2
15,16,3.4
15,25,27.1
16,15,3
16,18,25.4
16,31,15.1
16,24,5.1
17,6,14.9
17,25,4.1
17,4,28.2
17,13,30.3
17,14,8.8
17,30,13.6
18,15,29.9
18,16,28.2
18,31,11.4
18,25,4.4
18,11,26.2
19,3,1.3
19,15,29.9
19,23,29.5
19,25,8.9
19,0,10.6
19,12,7.7
20,6,15.6
20,2,17.5
21,31,3.5
21,11,20.8
21,5,35
22,29,22.6
22,1,4.8
22,7,17.6
23,19,42.2
23,12,42.2
24,16,7.3
24,26,42.3
24,31,23.1
25,15,22.5
25,18,3.8
25,19,7.7
25,11,0.5
25,9,21.8
25,13,14.6
25,0,4.4
25,17,3.6
25,14,14.7
25,5,6.4
26,31,13
26,8,16
26,24,36.2
27,6,26
27,2,31
27,9,13.9
27,5,23.4
28,29,36.7
28,10,2.1
28,4,6.5
28,30,36
28,7,18.8
29,10,11.4
29,28,34.8
29,22,18.1
29,7,5.1
30,3,21.3
30,28,28.6
30,4,2.9
30,17,10.5
30,14,0.5
30,7,6.5
31,18,13.4
31,16,19.7
31,26,13.7
31,11,26.5
31,21,2.2
31,24,20.8
