0,6,13
0,4,14.4
0,1,4.3
1,0,4.9
1,4,18
1,8,12.9
2,12,23.9
2,10,29.4
3,7,44.3
3,5,25.7
4,7,7.4
4,6,21.6
4,0,25
4,8,18.2
4,1,27.7
5,3,23.2
5,12,29.9
6,7,13.2
6,0,20.1
6,4,19.2
7,6,14.2
7,3,41.1
7,4,7.1
7,8,19.1
8,7,23.1
8,4,21.1
8,1,23
9,11,28.8
10,11,26.9
10,2,23.9
11,10,32.5
11,9,22.8
12,5,44.1
12,2,31.6
