1.16,24.1,1.5,74.9,0.084529792,1.7739097,5.299131605,0,0
2.16,24.1,1.5,74.9,0.084529792,0.8991952,5.299131605,0,0
3.16,24.1,1.5,74.9,0.084529792,-0.39040092,5.299131605,1,1
4.16,24.1,1.5,74.9,0.084529792,-1.4409181,5.299131605,0,0
5.16,24.1,1.5,74.9,0.084529792,1.5178033,5.299131605,0,0
6.16,24.1,1.5,74.9,0.084529792,-2.308155,5.299131605,0,0
7.16,24.1,1.5,74.9,0.084529792,1.6311705,5.299131605,0,0
8.16,24.1,1.5,74.9,0.084529792,2.044445,5.299131605,0,0
9.16,24.1,1.5,74.9,0.084529792,0.22465505,5.299131605,0,0
10.16,24.1,1.5,74.9,0.084529792,-2.940303,5.299131605,1,1
11.16,24.1,1.5,74.9,0.084529792,-0.35105154,5.299131605,0,0
12.16,24.1,1.5,74.9,0.084529792,1.4789902,5.299131605,0,0
1.17,24.26,1.52,75.62,0.070627074,0.6233101,7.452543546,3,1
2.17,24.26,1.52,75.62,0.070627074,0.004072605,7.452543546,2,3
3.17,24.26,1.52,75.62,0.070627074,-2.6297398,7.452543546,1,2
4.17,24.26,1.52,75.62,0.070627074,-0.2584831,7.452543546,1,1
5.17,24.26,1.52,75.62,0.070627074,0.44214144,7.452543546,0,0
6.17,24.26,1.52,75.62,0.070627074,0.6356985,7.452543546,1,1
7.17,24.26,1.52,75.62,0.070627074,-1.4547069,7.452543546,0,0
8.17,24.26,1.52,75.62,0.070627074,-1.4650671,7.452543546,1,1
9.17,24.26,1.52,75.62,0.070627074,-0.43182647,7.452543546,2,1
10.17,24.26,1.52,75.62,0.070627074,-0.11013549,7.452543546,1,1
11.17,24.26,1.52,75.62,0.070627074,-0.32923532,7.452543546,1,1
12.17,24.26,1.52,75.62,0.070627074,-0.4698843,7.452543546,0,0
1.18,24.42,1.54,76.34,0.056724357,0.7731796,7.75529405,3,1
2.18,24.42,1.54,76.34,0.056724357,0.4412693,7.75529405,2,3
3.18,24.42,1.54,76.34,0.056724357,0.13074829,7.75529405,1,2
4.18,24.42,1.54,76.34,0.056724357,0.6483831,7.75529405,1,1
5.18,24.42,1.54,76.34,0.056724357,2.4510198,7.75529405,0,0
6.18,24.42,1.54,76.34,0.056724357,-0.764893,7.75529405,1,1
7.18,24.42,1.54,76.34,0.056724357,0.21640702,7.75529405,0,0
8.18,24.42,1.54,76.34,0.056724357,-0.5330176,7.75529405,1,1
9.18,24.42,1.54,76.34,0.056724357,0.42915386,7.75529405,2,1
10.18,24.42,1.54,76.34,0.056724357,2.3223128,7.75529405,1,1
11.18,24.42,1.54,76.34,0.056724357,0.028086979,7.75529405,1,1
12.18,24.42,1.54,76.34,0.056724357,1.9208674,7.75529405,0,0
1.19,24.58,1.56,77.06,0.042821639,0.103166829,4.569158998,3,1
2.19,24.58,1.56,77.06,0.042821639,-0.5270721,4.569158998,2,3
3.19,24.58,1.56,77.06,0.042821639,-0.766791484,4.569158998,1,2
4.19,24.58,1.56,77.06,0.042821639,0.451662619,4.569158998,1,1
5.19,24.58,1.56,77.06,0.042821639,1.819661416,4.569158998,0,0
6.19,24.58,1.56,77.06,0.042821639,0.92780036,4.569158998,1,1
7.19,24.58,1.56,77.06,0.042821639,-1.459423016,4.569158998,0,0
8.19,24.58,1.56,77.06,0.042821639,-1.849644175,4.569158998,1,1
9.19,24.58,1.56,77.06,0.042821639,0.454148304,4.569158998,2,1
10.19,24.58,1.56,77.06,0.042821639,1.870295476,4.569158998,1,1
11.19,24.58,1.56,77.06,0.042821639,0.149473919,4.569158998,1,1
12.19,24.58,1.56,77.06,0.042821639,-2.019081485,4.569158998,0,0
1.16,18.3,0.2,92.65,0.999870843,0.77322966,7.167829391,8,1.5
2.16,18.3,0.2,92.65,0.999870843,-0.53003085,7.167829391,24,1.17
3.16,18.3,0.2,92.65,0.999870843,0.77162147,7.167829391,21,1.48
4.16,18.3,0.2,92.65,0.999870843,-1.4594396,7.167829391,2,1
5.16,18.3,0.2,92.65,0.999870843,-0.62806493,7.167829391,6,2.17
6.16,18.3,0.2,92.65,0.999870843,0.37089103,7.167829391,11,2
7.16,18.3,0.2,92.65,0.999870843,1.6403825,7.167829391,4,1.25
8.16,18.3,0.2,92.65,0.999870843,-2.2779512,7.167829391,8,2
9.16,18.3,0.2,92.65,0.999870843,-0.932887,7.167829391,10,2.7
10.16,18.3,0.2,92.65,0.999870843,0.68428856,7.167829391,7,1.71
11.16,18.3,0.2,92.65,0.999870843,0.49727622,7.167829391,7,1.14
12.16,18.3,0.2,92.65,0.999870843,0.337281,7.167829391,5,3
1.17,18.6,0.2,93.14,0.999870318,-0.4806687,3.962395522,13,1.46
2.17,18.6,0.2,93.14,0.999870318,-0.015392335,3.962395522,15,1.27
3.17,18.6,0.2,93.14,0.999870318,0.56225413,3.962395522,15,1.33
4.17,18.6,0.2,93.14,0.999870318,-2.4305923,3.962395522,11,2.09
5.17,18.6,0.2,93.14,0.999870318,-1.0413343,3.962395522,19,1.95
6.17,18.6,0.2,93.14,0.999870318,-0.5330167,3.962395522,11,1.36
7.17,18.6,0.2,93.14,0.999870318,1.0214849,3.962395522,7,2
8.17,18.6,0.2,93.14,0.999870318,1.232063,3.962395522,8,2
9.17,18.6,0.2,93.14,0.999870318,0.44931728,3.962395522,12,1.08
10.17,18.6,0.2,93.14,0.999870318,-3.09,3.962395522,4,1.25
11.17,18.6,0.2,93.14,0.999870318,0.3609805,3.962395522,7,1.57
12.17,18.6,0.2,93.14,0.999870318,0.2840427,3.962395522,11,1.18
