"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Tirunelveli","I","I",0.35354462502157,0.64645537497843,2,2,24,1.0,2
"Madurai","I","I",0.05630228786649825,0.9436977121335017,2,2,11,1.0,2
"Cuddalore","R","R",0.3666174599271395,0.6333825400728605,2,2,3,1.0,2
"Tiruvallur","I","I",0.0,1.0,2,2,26,1.0,2
"Viluppuram","I","I",0.185687499614939,0.8143125003850611,2,2,30,1.0,2
"Salem","I","I",0.16218357393835234,0.8378164260616476,2,2,18,1.0,2
"Sivaganga","I","I",0.21183991220604922,0.7881600877939507,2,2,19,1.0,2
"Dharmapuri","I","R",0.19972348473294,0.80027651526706,2,2,4,1.0,2
"Karur","S","I",0.958721753436438,0.041278246563562104,2,2,9,1.0,2
"Pudukkottai","I","I",0.22008475724637197,0.779915242753628,2,2,16,1.0,2
"Nilgiris","I","R",0.18208860083503925,0.8179113991649608,2,2,14,1.0,2
"Thoothukudi","R","R",NaN,NaN,2,2,22,1.0,2
"Vellore","I","I",0.07176491937132434,0.9282350806286757,2,2,29,1.0,2
"Tiruvannamalai","I","R",0.1860109805665762,0.8139890194334237,2,2,27,1.0,2
"Kanyakumari","R","R",NaN,NaN,2,2,8,1.0,2
"Thanjavur","I","I",0.07440529889541195,0.925594701104588,2,2,20,1.0,2
"Nagapattinam","R","R",0.4032909533916117,0.5967090466083882,2,2,12,1.0,2
"Chennai","I","I",0.17109162895841631,0.8289083710415837,2,2,1,1.0,2
"Tiruvarur","I","I",0.19804956061394272,0.8019504393860574,2,2,28,1.0,2
"Tiruppur","I","I",0.05113974869704569,0.9488602513029543,2,2,25,1.0,2
"Virudhunagar","I","R",0.1592459694283336,0.8407540305716665,2,2,31,1.0,2
"Krishnagiri","I","I",0.18325741504016446,0.8167425849598355,2,2,10,1.0,2
"Ramanathapuram","I","I",0.10082319709960534,0.8991768029003947,2,2,17,1.0,2
"Tiruchirappalli","I","I",0.179619951005933,0.8203800489940669,2,2,23,1.0,2
"Perambalur","R","R",0.44771004473221854,0.5522899552677816,2,2,15,1.0,2
"Ariyalur","S","I",0.9509209663987185,0.049079033601281546,2,2,0,1.0,2
"Dindigul","I","I",0.08627231055770658,0.9137276894422934,2,2,5,1.0,2
"Erode","I","I",0.09536696960786883,0.9046330303921312,2,2,6,1.0,2
"Coimbatore","I","I",0.0799540775705159,0.920045922429484,2,2,2,1.0,2
"Theni","I","I",0.1135257161289019,0.8864742838710982,2,2,21,1.0,2
"Namakkal","I","I",0.16773658924681234,0.8322634107531877,2,2,13,1.0,2
"Kanchipuram","R","R",0.44597643248760405,0.554023567512396,2,2,7,1.0,2
"Tirunelveli","I","R",0.4410586586867842,0.5589413413132158,3,2,24,2.0,2
"Madurai","I","I",0.11695442249747044,0.8830455775025295,3,2,11,2.0,2
"Cuddalore","R","S",0.44850626048431186,0.551493739515688,3,2,3,2.0,2
"Tiruvallur","I","I",0.0,1.0,3,2,26,2.0,2
"Viluppuram","R","R",0.5052626288215893,0.4947373711784105,3,2,30,2.0,2
"Salem","I","R",0.15118771184368976,0.8488122881563102,3,2,18,2.0,2
"Sivaganga","I","I",0.1564811660594615,0.8435188339405385,3,2,19,2.0,2
"Dharmapuri","I","I",0.142068768517195,0.8579312314828049,3,2,4,2.0,2
"Karur","I","I",0.12329966285986801,0.876700337140132,3,2,9,2.0,2
"Pudukkottai","I","I",0.20174527346775584,0.7982547265322442,3,2,16,2.0,2
"Nilgiris","I","I",0.1325100259609423,0.8674899740390577,3,2,14,2.0,2
"Thoothukudi","R","R",0.0,1.0,3,2,22,2.0,2
"Vellore","I","I",0.09975813002908865,0.9002418699709114,3,2,29,2.0,2
"Tiruvannamalai","I","R",0.12350691630660329,0.8764930836933966,3,2,27,2.0,2
"Kanyakumari","R","R",NaN,NaN,3,2,8,2.0,2
"Thanjavur","I","I",0.05687875998758891,0.943121240012411,3,2,20,2.0,2
"Nagapattinam","S","I",0.947046173658491,0.05295382634150901,3,2,12,2.0,2
"Chennai","I","I",0.25337852130587607,0.7466214786941239,3,2,1,2.0,2
"Tiruvarur","I","I",0.14146537352898833,0.8585346264710118,3,2,28,2.0,2
"Tiruppur","I","I",0.1048310810666549,0.8951689189333452,3,2,25,2.0,2
"Virudhunagar","R","R",0.0,1.0,3,2,31,2.0,2
"Krishnagiri","I","I",0.12871494261628785,0.8712850573837122,3,2,10,2.0,2
