"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Krishnagiri","I","I",0.0,1.0,2,2,10,1.0,2
"Nagapattinam","R","R",NaN,NaN,2,2,12,1.0,2
"Pudukkottai","I","I",0.0,1.0,2,2,16,1.0,2
"Tiruvallur","I","I",NaN,NaN,2,2,26,1.0,2
"Dharmapuri","I","I",0.0,1.0,2,2,4,1.0,2
"Dindigul","I","I",0.0,1.0,2,2,5,1.0,2
"Tiruchirappalli","I","I",0.15939014123469442,0.8406098587653056,2,2,23,1.0,2
"Salem","I","I",0.2652721654423067,0.7347278345576933,2,2,18,1.0,2
"Coimbatore","I","I",0.0,1.0,2,2,2,1.0,2
"Tiruppur","I","I",0.0,1.0,2,2,25,1.0,2
"Thoothukudi","R","R",NaN,NaN,2,2,22,1.0,2
"Tiruvannamalai","I","I",NaN,NaN,2,2,27,1.0,2
"Kanyakumari","R","R",NaN,NaN,2,2,8,1.0,2
"Perambalur","R","R",NaN,NaN,2,2,15,1.0,2
"Theni","I","I",0.0,1.0,2,2,21,1.0,2
"Vellore","I","I",NaN,NaN,2,2,29,1.0,2
"Namakkal","I","I",0.0,1.0,2,2,13,1.0,2
"Thanjavur","I","I",0.0,1.0,2,2,20,1.0,2
"Tiruvarur","I","R",0.4532536246288391,0.5467463753711608,2,2,28,1.0,2
"Viluppuram","I","R",0.663973141709987,0.336026858290013,2,2,30,1.0,2
"Erode","I","I",0.0,1.0,2,2,6,1.0,2
"Nilgiris","I","I",0.0,1.0,2,2,14,1.0,2
"Madurai","I","I",0.33195919292751436,0.6680408070724856,2,2,11,1.0,2
"Ramanathapuram","I","I",0.0,1.0,2,2,17,1.0,2
"Cuddalore","R","R",NaN,NaN,2,2,3,1.0,2
"Karur","S","I",0.857056318575268,0.142943681424732,2,2,9,1.0,2
"Ariyalur","S","S",0.6689382933192167,0.3310617066807832,2,2,0,1.0,2
"Chennai","I","I",NaN,NaN,2,2,1,1.0,2
"Sivaganga","I","I",0.29515376241491276,0.7048462375850872,2,2,19,1.0,2
"Virudhunagar","I","I",0.0,1.0,2,2,31,1.0,2
"Tirunelveli","I","I",0.0,1.0,2,2,24,1.0,2
"Kanchipuram","R","R",NaN,NaN,2,2,7,1.0,2
"Krishnagiri","I","I",0.0,1.0,3,2,10,2.0,2
"Nagapattinam","S","I",1.0,0.0,3,2,12,2.0,2
"Pudukkottai","I","I",0.0,1.0,3,2,16,2.0,2
"Tiruvallur","I","I",NaN,NaN,3,2,26,2.0,2
"Dharmapuri","I","I",0.0,1.0,3,2,4,2.0,2
"Dindigul","I","I",0.0,1.0,3,2,5,2.0,2
"Tiruchirappalli","I","I",0.11293702157920608,0.8870629784207938,3,2,23,2.0,2
"Salem","I","R",0.25932870352043635,0.7406712964795636,3,2,18,2.0,2
"Coimbatore","I","I",0.0,1.0,3,2,2,2.0,2
"Tiruppur","I","I",0.0,1.0,3,2,25,2.0,2
