"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Vizianagaram","R","R",0.4637358434726181,0.536264156527382,2,2,11,1.0,2
"Guntur","R","S",0.8125087652317653,0.1874912347682348,2,2,3,1.0,2
"Prakasam","S","I",0.7155258190586756,0.2844741809413244,2,2,8,1.0,2
"West-Godavari","S","I",0.7136795609888676,0.2863204390111323,2,2,12,1.0,2
"Chittoor","I","I",0.26293818228097393,0.7370618177190261,2,2,1,1.0,2
"Kadapa","S","S",0.7142741547436174,0.28572584525638256,2,2,4,1.0,2
"Visakhapatnam","I","I",0.35435400013471274,0.6456459998652873,2,2,10,1.0,2
"Srikakulam","R","S",0.5037854752628741,0.4962145247371259,2,2,9,1.0,2
"Anantapur","S","S",0.661090667317464,0.338909332682536,2,2,0,1.0,2
"Krishna","I","R",0.2804096953862301,0.7195903046137697,2,2,5,1.0,2
"Kurnool","I","I",0.22599973117020894,0.774000268829791,2,2,6,1.0,2
"East-Godavari","I","R",0.40737891219680933,0.5926210878031907,2,2,2,1.0,2
"Nellore","I","I",0.18327438518094602,0.816725614819054,2,2,7,1.0,2
"Vizianagaram","S","I",0.7175631827735071,0.28243681722649294,3,2,11,2.0,2
"Guntur","S","S",0.7943393174358279,0.20566068256417208,3,2,3,2.0,2
"Prakasam","I","I",0.4360680027236289,0.5639319972763712,3,2,8,2.0,2
"West-Godavari","I","I",0.4383615946123748,0.5616384053876251,3,2,12,2.0,2
"Chittoor","R","R",0.46517533332890904,0.534824666671091,3,2,1,2.0,2
"Kadapa","S","I",0.8840288393611977,0.1159711606388023,3,2,4,2.0,2
"Visakhapatnam","I","R",0.4541110625238742,0.5458889374761259,3,2,10,2.0,2
"Srikakulam","S","I",0.711980167433742,0.28801983256625796,3,2,9,2.0,2
"Anantapur","I","R",0.3321068162200011,0.667893183779999,3,2,0,2.0,2
"Krishna","I","R",0.45226911949455173,0.5477308805054482,3,2,5,2.0,2
"Kurnool","I","R",0.3472025005005792,0.6527974994994208,3,2,6,2.0,2
"East-Godavari","R","R",0.5590399499025922,0.44096005009740785,3,2,2,2.0,2
"Nellore","R","S",0.40002758523783893,0.5999724147621611,3,2,7,2.0,2
"Vizianagaram","S","S",0.5283268639579571,0.47167313604204275,4,2,11,3.0,2
"Guntur","S","S",0.6889493796009717,0.3110506203990285,4,2,3,3.0,2
"Prakasam","I","I",0.17517443470813526,0.8248255652918648,4,2,8,3.0,2
"West-Godavari","R","S",1.0,0.0,4,2,12,3.0,2
"Chittoor","S","S",0.6855135433503405,0.3144864566496594,4,2,1,3.0,2
"Kadapa","I","I",0.16549296802795946,0.8345070319720406,4,2,4,3.0,2
"Visakhapatnam","I","I",0.17126360529901297,0.8287363947009869,4,2,10,3.0,2
"Srikakulam","S","I",0.41941427128528674,0.5805857287147131,4,2,9,3.0,2
"Anantapur","I","I",0.1713652198202099,0.8286347801797901,4,2,0,3.0,2
"Krishna","I","I",0.16785850090415486,0.8321414990958451,4,2,5,3.0,2
"Kurnool","I","I",0.16605902838399547,0.8339409716160046,4,2,6,3.0,2
"East-Godavari","S","I",0.5272388736545547,0.4727611263454452,4,2,2,3.0,2
"Nellore","S","S",0.7434872891400701,0.25651271085992994,4,2,7,3.0,2
"Vizianagaram","I","I",0.07702983821549511,0.922970161784505,5,2,11,4.0,2
"Guntur","I","I",0.04863360372003417,0.9513663962799658,5,2,3,4.0,2
"Prakasam","I","I",0.0788667769541952,0.9211332230458047,5,2,8,4.0,2
"West-Godavari","R","R",NaN,NaN,5,2,12,4.0,2
"Chittoor","I","I",0.07136573672655772,0.9286342632734422,5,2,1,4.0,2
"Kadapa","I","I",0.10897470058773408,0.8910252994122658,5,2,4,4.0,2
"Visakhapatnam","I","I",0.07332991743243603,0.926670082567564,5,2,10,4.0,2
"Srikakulam","I","I",0.20227842040128952,0.7977215795987105,5,2,9,4.0,2
"Anantapur","I","I",0.09100823369223812,0.9089917663077619,5,2,0,4.0,2
"Krishna","I","I",0.08105197566833598,0.918948024331664,5,2,5,4.0,2
"Kurnool","I","R",0.09134511898631381,0.9086548810136862,5,2,6,4.0,2
"East-Godavari","I","I",0.08524760712929642,0.9147523928707036,5,2,2,4.0,2
"Nellore","I","I",0.0528788603079815,0.9471211396920185,5,2,7,4.0,2
"Vizianagaram","R","S",1.0,0.0,6,2,11,5.0,2
"Guntur","I","R",0.18475390624207208,0.8152460937579279,6,2,3,5.0,2
"Prakasam","I","I",0.19675906968074316,0.8032409303192569,6,2,8,5.0,2
"West-Godavari","S","I",1.0,0.0,6,2,12,5.0,2
"Chittoor","I","I",0.19660951658533396,0.8033904834146661,6,2,1,5.0,2
"Kadapa","R","S",1.0,0.0,6,2,4,5.0,2
"Visakhapatnam","I","I",0.17427417804866796,0.825725821951332,6,2,10,5.0,2
"Srikakulam","I","I",0.3309231067346547,0.6690768932653453,6,2,9,5.0,2
"Anantapur","I","I",0.1247565692356517,0.8752434307643482,6,2,0,5.0,2
"Krishna","I","R",0.1905179425570715,0.8094820574429284,6,2,5,5.0,2
"Kurnool","I","I",0.1180252688998253,0.8819747311001747,6,2,6,5.0,2
"East-Godavari","I","I",0.2179444526868047,0.7820555473131953,6,2,2,5.0,2
"Nellore","I","I",0.11028982913573902,0.889710170864261,6,2,7,5.0,2
"Vizianagaram","R","S",0.912133129043424,0.08786687095657601,7,2,11,6.0,2
"Guntur","R","R",0.004146954956881762,0.9958530450431182,7,2,3,6.0,2
"Prakasam","I","R",0.4800436761117601,0.5199563238882399,7,2,8,6.0,2
"West-Godavari","S","I",1.0,0.0,7,2,12,6.0,2
"Chittoor","I","I",0.47338235811262036,0.5266176418873797,7,2,1,6.0,2
"Kadapa","R","S",0.998343733606659,0.0016562663933410446,7,2,4,6.0,2
"Visakhapatnam","I","R",0.5295152531244283,0.4704847468755717,7,2,10,6.0,2
"Srikakulam","R","R",0.022242623004605853,0.9777573769953942,7,2,9,6.0,2
"Anantapur","I","R",0.3614995587978956,0.6385004412021044,7,2,0,6.0,2
"Krishna","I","I",0.470290721413194,0.5297092785868059,7,2,5,6.0,2
"Kurnool","I","R",0.36418725803163304,0.635812741968367,7,2,6,6.0,2
