"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Una","I","I",NaN,NaN,2,2,11,1.0,2
"Bilaspur","R","R",NaN,NaN,2,2,0,1.0,2
"Kangra","I","I",NaN,NaN,2,2,3,1.0,2
"Kullu","S","S",NaN,NaN,2,2,5,1.0,2
"Shimla","I","I",NaN,NaN,2,2,8,1.0,2
"Lahul-Spiti","R","R",NaN,NaN,2,2,6,1.0,2
"Chamba","I","I",NaN,NaN,2,2,1,1.0,2
"Hamirpur","I","I",NaN,NaN,2,2,2,1.0,2
"Kinnaur","I","I",NaN,NaN,2,2,4,1.0,2
"Mandi","I","I",0.0,1.0,2,2,7,1.0,2
"Solan","I","I",0.41865562119980154,0.5813443788001984,2,2,10,1.0,2
"Sirmaur","R","S",1.0,0.0,2,2,9,1.0,2
"Una","I","I",NaN,NaN,3,2,11,2.0,2
"Bilaspur","R","R",0.0,1.0,3,2,0,2.0,2
"Kangra","I","I",NaN,NaN,3,2,3,2.0,2
"Kullu","I","I",NaN,NaN,3,2,5,2.0,2
"Shimla","I","I",NaN,NaN,3,2,8,2.0,2
"Lahul-Spiti","S","S",NaN,NaN,3,2,6,2.0,2
"Chamba","R","R",NaN,NaN,3,2,1,2.0,2
"Hamirpur","R","R",NaN,NaN,3,2,2,2.0,2
"Kinnaur","I","I",NaN,NaN,3,2,4,2.0,2
"Mandi","I","R",1.0,0.0,3,2,7,2.0,2
"Solan","R","R",0.0,1.0,3,2,10,2.0,2
"Sirmaur","S","I",1.0,0.0,3,2,9,2.0,2
"Una","I","I",NaN,NaN,4,2,11,3.0,2
"Bilaspur","R","S",1.0,0.0,4,2,0,3.0,2
"Kangra","I","I",NaN,NaN,4,2,3,3.0,2
"Kullu","I","I",NaN,NaN,4,2,5,3.0,2
"Shimla","I","I",NaN,NaN,4,2,8,3.0,2
"Lahul-Spiti","S","S",NaN,NaN,4,2,6,3.0,2
"Chamba","S","S",NaN,NaN,4,2,1,3.0,2
"Hamirpur","R","R",NaN,NaN,4,2,2,3.0,2
"Kinnaur","I","I",NaN,NaN,4,2,4,3.0,2
"Mandi","I","I",NaN,NaN,4,2,7,3.0,2
"Solan","S","I",1.0,0.0,4,2,10,3.0,2
"Sirmaur","S","I",1.0,0.0,4,2,9,3.0,2
"Una","R","R",NaN,NaN,5,2,11,4.0,2
"Bilaspur","S","S",0.0,1.0,5,2,0,4.0,2
"Kangra","I","I",NaN,NaN,5,2,3,4.0,2
"Kullu","I","I",NaN,NaN,5,2,5,4.0,2
"Shimla","I","I",NaN,NaN,5,2,8,4.0,2
"Lahul-Spiti","S","S",NaN,NaN,5,2,6,4.0,2
"Chamba","S","S",NaN,NaN,5,2,1,4.0,2
"Hamirpur","R","R",NaN,NaN,5,2,2,4.0,2
"Kinnaur","I","I",NaN,NaN,5,2,4,4.0,2
"Mandi","I","I",NaN,NaN,5,2,7,4.0,2
"Solan","S","I",0.8005025226526813,0.1994974773473187,5,2,10,4.0,2
"Sirmaur","S","I",1.0,0.0,5,2,9,4.0,2
"Una","S","S",NaN,NaN,6,2,11,5.0,2
"Bilaspur","S","I",1.0,0.0,6,2,0,5.0,2
"Kangra","I","I",NaN,NaN,6,2,3,5.0,2
"Kullu","I","I",0.0,1.0,6,2,5,5.0,2
"Shimla","I","I",NaN,NaN,6,2,8,5.0,2
"Lahul-Spiti","I","I",NaN,NaN,6,2,6,5.0,2
"Chamba","I","I",NaN,NaN,6,2,1,5.0,2
"Hamirpur","S","S",NaN,NaN,6,2,2,5.0,2
"Kinnaur","R","R",NaN,NaN,6,2,4,5.0,2
"Mandi","I","I",0.0,1.0,6,2,7,5.0,2
"Solan","I","I",0.0,1.0,6,2,10,5.0,2
"Sirmaur","I","I",0.0,1.0,6,2,9,5.0,2
"Una","I","I",NaN,NaN,7,2,11,6.0,2
"Bilaspur","S","I",1.0,0.0,7,2,0,6.0,2
"Kangra","I","I",NaN,NaN,7,2,3,6.0,2
"Kullu","I","R",1.0,0.0,7,2,5,6.0,2
"Shimla","I","I",NaN,NaN,7,2,8,6.0,2
"Lahul-Spiti","R","R",NaN,NaN,7,2,6,6.0,2
"Chamba","I","I",NaN,NaN,7,2,1,6.0,2
"Hamirpur","S","S",NaN,NaN,7,2,2,6.0,2
"Kinnaur","R","R",NaN,NaN,7,2,4,6.0,2
"Mandi","I","I",0.0,1.0,7,2,7,6.0,2
"Solan","I","I",0.0,1.0,7,2,10,6.0,2
"Sirmaur","R","R",NaN,NaN,7,2,9,6.0,2
"Una","I","I",NaN,NaN,8,2,11,7.0,2
"Bilaspur","S","I",1.0,0.0,8,2,0,7.0,2
