"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Una","I","I",0.3538975200567469,0.6461024799432531,2,2,11,1.0,2
"Bilaspur","R","S",0.32711934592003167,0.6728806540799682,2,2,0,1.0,2
"Kangra","I","I",0.3295525737676265,0.6704474262323735,2,2,3,1.0,2
"Kullu","S","I",1.0,0.0,2,2,5,1.0,2
"Shimla","I","I",0.3459903033651025,0.6540096966348975,2,2,8,1.0,2
"Lahul-Spiti","R","R",0.34639149285480914,0.6536085071451909,2,2,6,1.0,2
"Chamba","I","I",0.3042008684651644,0.6957991315348355,2,2,1,1.0,2
"Hamirpur","I","R",0.40827148813762154,0.5917285118623784,2,2,2,1.0,2
"Kinnaur","I","R",0.35827137119906655,0.6417286288009334,2,2,4,1.0,2
"Mandi","I","I",0.3148368732717411,0.6851631267282589,2,2,7,1.0,2
"Solan","I","I",0.2941859676348038,0.7058140323651961,2,2,10,1.0,2
"Sirmaur","R","R",0.35538706315557594,0.644612936844424,2,2,9,1.0,2
"Una","I","R",0.7792462034383179,0.2207537965616821,3,2,11,2.0,2
"Bilaspur","R","S",0.35079817294419124,0.6492018270558088,3,2,0,2.0,2
"Kangra","I","I",0.6502746315082296,0.34972536849177044,3,2,3,2.0,2
"Kullu","I","R",0.5685665798885502,0.43143342011144975,3,2,5,2.0,2
"Shimla","I","I",0.5282886745167973,0.47171132548320277,3,2,8,2.0,2
"Lahul-Spiti","S","I",0.8132267876895063,0.18677321231049365,3,2,6,2.0,2
"Chamba","R","R",0.4090506763469348,0.5909493236530652,3,2,1,2.0,2
"Hamirpur","R","S",0.41126134756152183,0.5887386524384782,3,2,2,2.0,2
"Kinnaur","I","I",0.34325269333258496,0.656747306667415,3,2,4,2.0,2
"Mandi","I","I",0.5716528185640722,0.42834718143592776,3,2,7,2.0,2
"Solan","R","S",0.37747939353736804,0.622520606462632,3,2,10,2.0,2
"Sirmaur","S","I",0.8785550226231416,0.1214449773768584,3,2,9,2.0,2
"Una","I","I",0.5963809718611515,0.40361902813884853,4,2,11,3.0,2
"Bilaspur","R","S",0.7844895078968138,0.21551049210318618,4,2,0,3.0,2
"Kangra","I","I",0.6006628736575249,0.39933712634247504,4,2,3,3.0,2
"Kullu","I","I",0.31317809516668216,0.686821904833318,4,2,5,3.0,2
"Shimla","I","I",0.16896359593104165,0.8310364040689584,4,2,8,3.0,2
