"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Chennai","I","I",0.292191703411948,0.707808296588052,2,1,1,1.0,1
"Ariyalur","S","I",0.9828689366670422,0.017131063332957858,2,1,0,1.0,1
"Madurai","I","I",0.262753521531655,0.737246478468345,2,1,11,1.0,1
"Vellore","I","I",0.13391914229366678,0.8660808577063333,2,1,29,1.0,1
"Pudukkottai","I","S",0.7262845320773416,0.2737154679226585,2,1,16,1.0,1
"Tiruvarur","I","I",0.713802705072196,0.286197294927804,2,1,28,1.0,1
"Cuddalore","S","I",0.9544702459335225,0.04552975406647753,2,1,3,1.0,1
"Nagapattinam","S","I",0.9756869914167015,0.024313008583298597,2,1,12,1.0,1
"Virudhunagar","I","I",0.2747406048896828,0.7252593951103171,2,1,31,1.0,1
"Tiruppur","I","I",0.3878234079909481,0.612176592009052,2,1,25,1.0,1
"Kanyakumari","S","I",1.0,0.0,2,1,8,1.0,1
"Tirunelveli","I","S",0.6213113198609309,0.3786886801390691,2,1,24,1.0,1
"Thanjavur","I","S",0.49054272671820115,0.5094572732817988,2,1,20,1.0,1
"Kanchipuram","S","I",0.978020711676706,0.021979288323294027,2,1,7,1.0,1
"Viluppuram","I","S",0.6970360132611894,0.30296398673881064,2,1,30,1.0,1
"Karur","S","I",0.9869966044188814,0.013003395581118543,2,1,9,1.0,1
"Tiruvallur","I","I",0.0,1.0,2,1,26,1.0,1
"Sivaganga","I","S",0.7452710818315139,0.2547289181684862,2,1,19,1.0,1
"Dharmapuri","I","S",0.7155079393148791,0.2844920606851209,2,1,4,1.0,1
"Perambalur","S","I",0.9803414513517531,0.019658548648246947,2,1,15,1.0,1
"Tiruchirappalli","I","S",0.6897338164014226,0.31026618359857744,2,1,23,1.0,1
"Tiruvannamalai","I","I",0.5955783730828075,0.4044216269171926,2,1,27,1.0,1
"Thoothukudi","S","I",1.0,0.0,2,1,22,1.0,1
"Ramanathapuram","I","S",0.501650795414309,0.49834920458569093,2,1,17,1.0,1
"Theni","I","S",0.2039031779590444,0.7960968220409557,2,1,21,1.0,1
"Coimbatore","I","S",0.34132659916009184,0.6586734008399082,2,1,2,1.0,1
"Erode","I","S",0.4844453491572203,0.5155546508427797,2,1,6,1.0,1
"Nilgiris","I","I",0.6929991707738298,0.30700082922617017,2,1,14,1.0,1
"Salem","I","S",0.6447276721631128,0.35527232783688734,2,1,18,1.0,1
"Namakkal","I","I",0.6717675146266701,0.3282324853733299,2,1,13,1.0,1
"Dindigul","I","I",0.36108666056337574,0.6389133394366244,2,1,5,1.0,1
"Krishnagiri","I","S",0.692313402778966,0.3076865972210341,2,1,10,1.0,1
"Chennai","I","I",0.6322173867946826,0.36778261320531724,3,1,1,2.0,1
"Ariyalur","I","S",0.8774487167717469,0.12255128322825322,3,1,0,2.0,1
"Madurai","I","S",0.8721451123728011,0.12785488762719882,3,1,11,2.0,1
"Vellore","I","S",0.8246168002845234,0.17538319971547656,3,1,29,2.0,1
"Pudukkottai","I","S",0.8821421069457527,0.11785789305424735,3,1,16,2.0,1
"Tiruvarur","I","S",0.8818925366181893,0.11810746338181076,3,1,28,2.0,1
"Cuddalore","S","I",0.8441400941737569,0.15585990582624312,3,1,3,2.0,1
"Nagapattinam","S","I",0.9239033492543379,0.0760966507456621,3,1,12,2.0,1
"Virudhunagar","S","I",0.3516418270439889,0.6483581729560112,3,1,31,2.0,1
"Tiruppur","I","S",0.7906053678074393,0.2093946321925607,3,1,25,2.0,1
"Kanyakumari","S","S",0.0,1.0,3,1,8,2.0,1
