"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Una","I","I",NaN,NaN,8,1,11,7.0,1
"Sirmaur","S","S",0.009886609555665131,0.990113390444335,8,1,9,7.0,1
"Kullu","I","I",0.0,1.0,8,1,5,7.0,1
"Shimla","I","I",0.0,1.0,8,1,8,7.0,1
"Bilaspur","S","I",0.8664751546343291,0.1335248453656709,8,1,0,7.0,1
"Kinnaur","R","R",NaN,NaN,8,1,4,7.0,1
"Lahul-Spiti","S","S",0.0491999991680524,0.9508000008319476,8,1,6,7.0,1
"Solan","I","I",0.0,1.0,8,1,10,7.0,1
"Kangra","I","I",NaN,NaN,9,1,3,8.0,1
"Hamirpur","I","I",0.0,1.0,9,1,2,8.0,1
"Mandi","I","I",0.0,1.0,9,1,7,8.0,1
"Chamba","I","I",0.0,1.0,9,1,1,8.0,1
"Una","I","I",0.0,1.0,9,1,11,8.0,1
"Sirmaur","I","I",0.0,1.0,9,1,9,8.0,1
"Kullu","I","I",0.0,1.0,9,1,5,8.0,1
"Shimla","I","I",0.0,1.0,9,1,8,8.0,1
"Bilaspur","S","I",1.0,0.0,9,1,0,8.0,1
"Kinnaur","R","R",NaN,NaN,9,1,4,8.0,1
"Lahul-Spiti","I","I",0.0,1.0,9,1,6,8.0,1
"Solan","I","I",0.0,1.0,9,1,10,8.0,1
"Kangra","I","I",NaN,NaN,10,1,3,9.0,1
"Hamirpur","I","I",0.0,1.0,10,1,2,9.0,1
"Mandi","I","I",0.6384523389631437,0.36154766103685626,10,1,7,9.0,1
"Chamba","I","I",0.0,1.0,10,1,1,9.0,1
"Una","I","I",0.0,1.0,10,1,11,9.0,1
"Sirmaur","R","R",0.0,1.0,10,1,9,9.0,1
"Kullu","R","R",0.0,1.0,10,1,5,9.0,1
"Shimla","I","R",0.7575521021165245,0.24244789788347543,10,1,8,9.0,1
"Bilaspur","I","R",0.18975613599824254,0.8102438640017575,10,1,0,9.0,1
"Kinnaur","S","S",NaN,NaN,10,1,4,9.0,1
"Lahul-Spiti","R","R",0.0,1.0,10,1,6,9.0,1
"Solan","I","I",0.2808776236121297,0.7191223763878702,10,1,10,9.0,1
"Kangra","I","I",NaN,NaN,11,1,3,10.0,1
"Hamirpur","I","I",0.025318236378368834,0.9746817636216311,11,1,2,10.0,1
"Mandi","I","R",0.7362189275298088,0.2637810724701912,11,1,7,10.0,1
"Chamba","R","R",0.0,1.0,11,1,1,10.0,1
"Una","I","R",0.5267424514073864,0.4732575485926135,11,1,11,10.0,1
"Sirmaur","R","R",0.0,1.0,11,1,9,10.0,1
"Kullu","R","R",0.0,1.0,11,1,5,10.0,1
"Shimla","I","I",0.6056664494692494,0.3943335505307506,11,1,8,10.0,1
"Bilaspur","R","R",0.0,1.0,11,1,0,10.0,1
"Kinnaur","S","S",NaN,NaN,11,1,4,10.0,1
"Lahul-Spiti","R","R",0.0,1.0,11,1,6,10.0,1
