"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Tiruppur","I","I",0.15977030167129952,0.8402296983287004,2,2,25,1.0,1
"Viluppuram","I","I",0.15900799789081824,0.8409920021091817,2,2,30,1.0,1
"Karur","S","I",0.969543364578152,0.030456635421847948,2,2,9,1.0,1
"Tiruvarur","I","I",0.15142885174269224,0.8485711482573078,2,2,28,1.0,1
"Chennai","I","I",0.15957629733467354,0.8404237026653264,2,2,1,1.0,1
"Nagapattinam","R","R",0.3361042573180363,0.6638957426819637,2,2,12,1.0,1
"Perambalur","R","R",0.3105894821062755,0.6894105178937244,2,2,15,1.0,1
"Kanyakumari","R","R",0.0,1.0,2,2,8,1.0,1
"Kanchipuram","R","R",0.30871501645441096,0.6912849835455891,2,2,7,1.0,1
"Erode","I","I",0.1819016833877976,0.8180983166122024,2,2,6,1.0,1
"Cuddalore","R","R",0.31155115408006995,0.68844884591993,2,2,3,1.0,1
"Thanjavur","I","I",0.16037579612708946,0.8396242038729106,2,2,20,1.0,1
"Tiruchirappalli","I","I",0.15193712981686833,0.8480628701831316,2,2,23,1.0,1
"Tirunelveli","I","I",0.17438743879217164,0.8256125612078283,2,2,24,1.0,1
"Virudhunagar","I","R",0.1595210575088896,0.8404789424911104,2,2,31,1.0,1
"Namakkal","I","I",0.15040384431568896,0.8495961556843111,2,2,13,1.0,1
"Tiruvannamalai","I","R",0.15010646522829782,0.8498935347717022,2,2,27,1.0,1
"Coimbatore","I","I",0.18422160287492598,0.815778397125074,2,2,2,1.0,1
"Sivaganga","I","I",0.18566235461466538,0.8143376453853346,2,2,19,1.0,1
"Tiruvallur","I","I",0.12342104584829454,0.8765789541517054,2,2,26,1.0,1
"Madurai","I","I",0.18441694561182748,0.8155830543881725,2,2,11,1.0,1
"Krishnagiri","I","I",0.15999233874662558,0.8400076612533744,2,2,10,1.0,1
"Vellore","I","I",0.15875072680484595,0.8412492731951541,2,2,29,1.0,1
"Ariyalur","S","I",0.968181464702423,0.031818535297577076,2,2,0,1.0,1
"Salem","I","I",0.19196364254964463,0.8080363574503554,2,2,18,1.0,1
"Dharmapuri","I","R",0.1604212006755492,0.8395787993244508,2,2,4,1.0,1
"Pudukkottai","I","I",0.19323817309317512,0.8067618269068249,2,2,16,1.0,1
"Ramanathapuram","I","I",0.15017609500381035,0.8498239049961896,2,2,17,1.0,1
