"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Kanchipuram","S","I",0.940032203508238,0.05996779649176191,4,1,7,3.0,1
"Vellore","I","I",0.0,1.0,4,1,29,3.0,1
"Erode","I","I",0.08458123249922692,0.9154187675007731,4,1,6,3.0,1
"Theni","I","I",0.2180237349183875,0.7819762650816126,4,1,21,3.0,1
"Ariyalur","R","R",0.6797943747250682,0.3202056252749319,4,1,0,3.0,1
"Tirunelveli","I","R",0.391750030875848,0.608249969124152,4,1,24,3.0,1
"Sivaganga","I","I",0.12311630782050173,0.8768836921794982,4,1,19,3.0,1
"Thanjavur","I","I",0.08553557266116925,0.9144644273388308,4,1,20,3.0,1
"Thoothukudi","R","R",0.0,1.0,4,1,22,3.0,1
"Tiruvallur","I","I",0.0,1.0,4,1,26,3.0,1
"Tiruvarur","I","I",0.09758661151566876,0.9024133884843313,4,1,28,3.0,1
"Tiruppur","I","I",0.0639146053362994,0.9360853946637007,4,1,25,3.0,1
"Cuddalore","R","S",0.6600744502512018,0.33992554974879824,4,1,3,3.0,1
"Namakkal","I","R",0.08051759772565767,0.9194824022743423,4,1,13,3.0,1
"Virudhunagar","R","R",0.0,1.0,4,1,31,3.0,1
"Chennai","I","I",0.0,1.0,4,1,1,3.0,1
"Kanyakumari","S","I",1.0,0.0,4,1,8,3.0,1
"Salem","I","R",0.10597767661141685,0.8940223233885831,4,1,18,3.0,1
"Dindigul","I","I",0.14498858348446816,0.8550114165155319,4,1,5,3.0,1
"Dharmapuri","I","I",0.09954335147179595,0.9004566485282041,4,1,4,3.0,1
"Krishnagiri","I","I",0.12605818995996845,0.8739418100400316,4,1,10,3.0,1
"Nilgiris","I","I",0.1075947803179808,0.8924052196820191,4,1,14,3.0,1
"Madurai","I","I",0.11247998815437396,0.887520011845626,4,1,11,3.0,1
"Pudukkottai","I","I",0.1452144034173306,0.8547855965826694,4,1,16,3.0,1
"Karur","I","I",0.09036658464020594,0.9096334153597941,4,1,9,3.0,1
"Viluppuram","S","I",0.924195910309164,0.07580408969083596,4,1,30,3.0,1
"Nagapattinam","I","I",0.11920190425174253,0.8807980957482575,4,1,12,3.0,1
"Ramanathapuram","I","I",0.05037822844753179,0.9496217715524683,4,1,17,3.0,1
"Tiruchirappalli","I","I",0.09913172075264,0.90086827924736,4,1,23,3.0,1
"Coimbatore","I","I",0.0,1.0,5,1,2,4.0,1
"Tiruvannamalai","I","R",0.1271634210579602,0.8728365789420398,5,1,27,4.0,1
"Perambalur","S","I",0.9492750012412029,0.05072499875879713,5,1,15,4.0,1
"Kanchipuram","I","R",0.07614113881017692,0.9238588611898231,5,1,7,4.0,1
"Vellore","I","I",0.08518663085861648,0.9148133691413836,5,1,29,4.0,1
"Erode","I","I",0.08183832992593243,0.9181616700740676,5,1,6,4.0,1
"Theni","I","I",0.11109269861942715,0.8889073013805728,5,1,21,4.0,1
"Ariyalur","R","S",0.9572155474015879,0.04278445259841212,5,1,0,4.0,1
"Tirunelveli","I","I",0.20779261406530541,0.7922073859346945,5,1,24,4.0,1
"Sivaganga","I","R",0.09090791072887627,0.9090920892711238,5,1,19,4.0,1
"Thanjavur","I","R",0.1408625202685874,0.8591374797314126,5,1,20,4.0,1
"Thoothukudi","S","I",1.0,0.0,5,1,22,4.0,1
"Tiruvallur","I","I",0.0,1.0,5,1,26,4.0,1
"Tiruvarur","I","I",0.09847164755067948,0.9015283524493205,5,1,28,4.0,1
"Tiruppur","I","I",0.11971964647561771,0.8802803535243824,5,1,25,4.0,1
"Cuddalore","S","I",0.5894631606896867,0.41053683931031326,5,1,3,4.0,1
"Namakkal","I","I",0.08440515688726508,0.9155948431127349,5,1,13,4.0,1
"Virudhunagar","R","S",1.0,0.0,5,1,31,4.0,1
"Chennai","I","I",0.0,1.0,5,1,1,4.0,1
"Kanyakumari","S","I",1.0,0.0,5,1,8,4.0,1
"Salem","I","I",0.10771084428619208,0.892289155713808,5,1,18,4.0,1
"Dindigul","I","I",0.07366495999506426,0.9263350400049358,5,1,5,4.0,1
"Dharmapuri","I","I",0.10136984760647166,0.8986301523935283,5,1,4,4.0,1
"Krishnagiri","I","I",0.13189589730829263,0.8681041026917073,5,1,10,4.0,1
"Nilgiris","R","S",0.5807524638199928,0.4192475361800072,5,1,14,4.0,1
"Madurai","I","I",0.05944971691607164,0.9405502830839284,5,1,11,4.0,1
"Pudukkottai","I","I",0.1522121353659519,0.8477878646340481,5,1,16,4.0,1
"Karur","I","I",0.08653875725829818,0.9134612427417019,5,1,9,4.0,1
"Viluppuram","S","I",0.9298672405006267,0.07013275949937314,5,1,30,4.0,1
"Nagapattinam","I","I",0.11864970768593719,0.8813502923140628,5,1,12,4.0,1
"Ramanathapuram","I","I",0.08749054751678292,0.9125094524832171,5,1,17,4.0,1
"Tiruchirappalli","I","I",0.09735071095274836,0.9026492890472517,5,1,23,4.0,1
"Coimbatore","I","R",0.2333911959933223,0.7666088040066777,6,1,2,5.0,1
"Tiruvannamalai","I","I",0.39104594639823975,0.6089540536017601,6,1,27,5.0,1
"Perambalur","S","I",0.9437779952152053,0.05622200478479457,6,1,15,5.0,1
"Kanchipuram","R","R",0.048770630113679804,0.9512293698863202,6,1,7,5.0,1
"Vellore","I","R",0.35239910477904085,0.6476008952209592,6,1,29,5.0,1
"Erode","I","R",0.28184680156059505,0.7181531984394048,6,1,6,5.0,1
"Theni","I","I",0.10937607849073402,0.890623921509266,6,1,21,5.0,1
"Ariyalur","R","R",0.34246306057026016,0.6575369394297399,6,1,0,5.0,1
"Tirunelveli","I","I",0.1752460820004882,0.8247539179995118,6,1,24,5.0,1
"Sivaganga","R","R",0.21027539085457467,0.7897246091454253,6,1,19,5.0,1
"Thanjavur","I","I",0.3181367323258826,0.6818632676741174,6,1,20,5.0,1
"Thoothukudi","S","I",1.0,0.0,6,1,22,5.0,1
"Tiruvallur","I","I",0.0,1.0,6,1,26,5.0,1
"Tiruvarur","I","R",0.39289925405380866,0.6071007459461913,6,1,28,5.0,1
"Tiruppur","I","I",0.3377116478656248,0.6622883521343752,6,1,25,5.0,1
"Cuddalore","S","I",0.8888514178829493,0.11114858211705077,6,1,3,5.0,1
"Namakkal","I","I",0.34452535546023305,0.655474644539767,6,1,13,5.0,1
"Virudhunagar","R","S",1.0,0.0,6,1,31,5.0,1
"Chennai","I","R",0.23646368308203014,0.7635363169179699,6,1,1,5.0,1
"Kanyakumari","I","I",0.0,1.0,6,1,8,5.0,1
"Salem","I","I",0.37487765523519245,0.6251223447648075,6,1,18,5.0,1
"Dindigul","I","I",0.3450817700540327,0.6549182299459674,6,1,5,5.0,1
"Dharmapuri","I","R",0.4124685327794582,0.5875314672205417,6,1,4,5.0,1
"Krishnagiri","I","I",0.35680321125603065,0.6431967887439692,6,1,10,5.0,1
"Nilgiris","R","R",0.25154041509830244,0.7484595849016975,6,1,14,5.0,1
"Madurai","I","I",0.28200254853060486,0.7179974514693951,6,1,11,5.0,1
"Pudukkottai","I","I",0.5100663286169752,0.4899336713830247,6,1,16,5.0,1
"Karur","R","R",0.13985623908792205,0.860143760912078,6,1,9,5.0,1
"Viluppuram","I","R",0.3625448931061078,0.6374551068938923,6,1,30,5.0,1
"Nagapattinam","R","R",0.1300360367572647,0.8699639632427354,6,1,12,5.0,1
"Ramanathapuram","I","I",0.32885569958140115,0.6711443004185988,6,1,17,5.0,1
"Tiruchirappalli","R","S",0.13082516905268252,0.8691748309473176,6,1,23,5.0,1
"Coimbatore","I","I",0.0,1.0,7,1,2,6.0,1
"Tiruvannamalai","I","I",0.08048612288952861,0.9195138771104714,7,1,27,6.0,1
"Perambalur","S","I",0.9229885610159568,0.07701143898404315,7,1,15,6.0,1
"Kanchipuram","S","S",0.024269404319628658,0.9757305956803712,7,1,7,6.0,1
"Vellore","I","I",0.08103479331623749,0.9189652066837626,7,1,29,6.0,1
"Erode","I","I",0.04727344834282043,0.9527265516571796,7,1,6,6.0,1
"Theni","I","I",0.11323456984904005,0.8867654301509599,7,1,21,6.0,1
"Ariyalur","S","S",0.10942557003751248,0.8905744299624876,7,1,0,6.0,1
